Retailer,Product Category,Product Description,Brand,Price,Size,Rating,# of Reviews,Page,Row (top to bottom),Column (left to right),"Private Label (Yes: 1, No: 0)","Sponsored (Yes:1 , No:0)","Merchandising Tag (Yes: 1, No:0)",Remarks
Amazon,cooking oil,"Amazon Grocery, Vegetable Oil, 48 Fl Oz","Amazon Grocery, Vegetable",3.55,48 Fl Oz (Pack of 1),4.8,29400,1,1,1,0,1,1,"Has an ""Overall Pick"" badge (merchandising tag); Has a ""Big Spring Deal"" badge (merchandising tag)"
Amazon,cooking oil,"Chosen Foods Avocado Oil, 16.9 Fl Oz - All Purpose Cooking Oil made from 100% Pure Avocados - Non-GMO, Gluten-Free, Keto Friendly, Glyphosate Free - 500mL (Pack Of 1)",Chosen Foods Avocado,12.23,16.9 Fl Oz,4.8,15200,1,1,2,0,1,1,"Has a ""Best Seller"" badge (merchandising tag)"
Amazon,cooking oil,"Graza Drizzle Extra Virgin Olive Oil, Finishing Oil - High Polyphenol Early Harvest EVOO Finishing Oil in a Squeeze Bottle - Single Farm Olives from Spain - 11.8 Fl Oz (350ml)",Graza Drizzle Extra,16.49,11.8 Fl Oz (Pack of 1),4.7,1000,1,1,3,0,1,0,
Amazon,cooking oil,"Grove Extra Virgin Avocado Oil - Plant Based, Vegan, Gluten Free, 100% Natural, Cold Pressed, High Smoke Point, 16 Whole Avocados in Every Bottle (8.4oz, 250ml)",Grove Extra Virgin,17.5,8.4oz,4.5,134,1,1,4,0,1,0,
Amazon,cooking oil,"Amazon Grocery, Vegetable Oil, 128 Fl Oz","Amazon Grocery, Vegetable",8.9,128 Fl Oz (Pack of 1),4.8,29400,1,2,1,0,0,1,"Has a ""Big Spring Deal"" badge (merchandising tag)"
Amazon,cooking oil,"Amazon Grocery, Canola Oil, 48 Fl Oz","Amazon Grocery, Canola",3.67,48 Fl Oz,4.8,19000,1,2,2,0,0,1,"Has a ""Big Spring Deal"" badge (merchandising tag)"
Amazon,cooking oil,"Crisco Pure Canola Oil, 1 Gallon",Crisco Pure Canola,10.98,1 Gallon,4.8,528,1,2,3,0,0,0,
Amazon,cooking oil,"Crisco Pure Vegetable Oil, 1 Gallon",Crisco Pure Vegetable,11.97,1 Gallon,4.7,5500,1,2,4,0,0,0,
Amazon,cooking oil,"Crisco Pure Canola Oil, 64 Fluid Ounce",Crisco Pure Canola,7.31,,4.7,5500,1,3,1,0,0,0,
Amazon,cooking oil,"Crisco Pure Vegetable Oil, 16 Fluid Ounce",Crisco Pure Vegetable,2.97,16 Fl Oz,4.7,1100,1,3,2,0,0,0,
Amazon,cooking oil,"Crisco Pure Vegetable Oil, 64 Fluid Ounce",Crisco Pure Vegetable,7.15,,4.7,5500,1,3,3,0,0,0,
Amazon,cooking oil,"Amazon Grocery, Peanut Oil, 128 Fl Oz","Amazon Grocery, Peanut",14.58,128 Fl Oz (Pack of 1),4.7,11000,1,3,4,0,0,1,"Has a ""Big Spring Deal"" badge (merchandising tag)"
Amazon,cooking oil,64 FL.OZ Organic Extra Virgin Olive Oil Cold Pressed,64 FL.OZ,37.99,,4.4,233,1,4,1,0,1,0,
Amazon,cooking oil,"Bertolli Extra Virgin Olive Oil, 17 oz",Bertolli Extra Virgin,6.97,17 oz,4.8,5500,1,4,2,0,1,0,
Amazon,cooking oil,"Algae Cooking Club Chef-Grade 100% Algae Cooking Oil - Avocado Oil Alternative - 535°F High Smoke Point - Omega-9 Rich, Neutral Buttery Flavor - Seed Oil-Free - For Searing, Baking, Frying (16 fl oz)",Algae Cooking Club,17.0,16 fl oz,4.6,1200,1,4,3,0,1,1,"Has a ""Big Spring Deal"" badge (merchandising tag)"
Amazon,cooking oil,"Crisco Pure Canola Oil, 40 Fluid Ounce",Crisco Pure Canola,4.57,40 Fl Oz,4.8,1200,1,4,4,0,0,0,
Amazon,cooking oil,"Amazon Grocery, Canola Oil, 128 Fl Oz","Amazon Grocery, Canola",9.9,128 Fl Oz,4.8,19000,1,5,1,0,0,0,
Amazon,cooking oil,"BetterBody Foods Refined Avocado Oil, Non-GMO Cooking Oil, Kosher, Keto and Paleo Diet Friendly, Frying, Baking, Avocado Oil, 500 mL, 16.9 Fl Oz",BetterBody Foods Refined,10.28,16.9 Fl Oz (Pack of 1),4.8,26500,1,5,2,0,0,0,
Amazon,cooking oil,"Amazon Grocery, Corn Oil, 128 Fl Oz","Amazon Grocery, Corn",10.68,128 Fl Oz (Pack of 1),4.7,3300,1,5,3,0,0,1,"Has a ""Big Spring Deal"" badge (merchandising tag)"
Amazon,cooking oil,Atlas 1 LT Cold Press Extra Virgin Olive Oil with Polyphenol Rich from Morocco | Newly Harvested Unprocessed from One Single Family Farm | Moroccan Organic EVOO Trusted by Award-Winning Chefs,Atlas 1 LT,27.67,34 Fl Oz (Pack of 1),4.7,23800,1,5,4,0,1,0,
Amazon,cooking oil,"Blueprint Bryan Johnson Olive Oil – Snake Oil- High Polyphenol Extra Virgin Olive Oil (400+ mg/kg) – Early Harvest, First Cold Press EVOO – Keto, Paleo, Non-GMO – 2 Pack - 750ml Glass Bottle",Blueprint Bryan Johnson,70.0,2 Count,4.5,809,1,6,1,0,1,0,
Amazon,cooking oil,"Zatural 100% Pure Cold Pressed Grapeseed Oil – Naturally Grown Virgin, High Smoke Point 450°F+, Non-GMO, Perfect for Cooking Frying Baking, Dressings Marinades & Skincare Hair (32 Fl oz)",Zatural 100% Pure,21.99,32 Fl oz,4.7,1700,1,6,2,0,1,0,
Amazon,cooking oil,Sadaf Pure Grapeseed Oil - Grape Seed Oil for Cooking & Baking - Healthy Cooking Oil - High Smoking Point - Italian Cuisine - Kosher & Natural - 2L Bottle,Sadaf Pure Grapeseed,23.99,,4.6,55,1,6,3,0,1,0,
Amazon,cooking oil,"365 by Whole Foods Market, Vegetable Oil, 32 Fl Oz",365 by Whole Foods Market,4.39,32 Fl Oz,4.7,3400,1,6,4,1,0,0,
